,rgi_id
0,RGI60-11.00090
1,RGI60-11.00096
2,RGI60-11.00191
3,RGI60-11.00196
4,RGI60-11.00203
5,RGI60-11.00204
6,RGI60-11.00206
7,RGI60-11.00221
8,RGI60-11.00225
9,RGI60-11.00230
10,RGI60-11.00235
11,RGI60-11.00237
12,RGI60-11.00245
13,RGI60-11.00254
14,RGI60-11.00270
15,RGI60-11.00272
16,RGI60-11.00273
17,RGI60-11.00285
18,RGI60-11.00288
19,RGI60-11.00295
20,RGI60-11.00315
21,RGI60-11.00323
22,RGI60-11.00325
23,RGI60-11.00331
24,RGI60-11.00332
25,RGI60-11.00333
26,RGI60-11.00337
27,RGI60-11.00340
28,RGI60-11.00343
29,RGI60-11.00349
30,RGI60-11.00360
31,RGI60-11.00364
32,RGI60-11.00371
33,RGI60-11.00372
34,RGI60-11.00375
35,RGI60-11.00376
36,RGI60-11.00380
37,RGI60-11.00387
38,RGI60-11.00390
39,RGI60-11.00392
40,RGI60-11.00393
41,RGI60-11.00394
42,RGI60-11.00395
43,RGI60-11.00410
44,RGI60-11.00411
45,RGI60-11.00414
46,RGI60-11.00419
47,RGI60-11.00428
48,RGI60-11.00430
49,RGI60-11.00432
50,RGI60-11.00437
51,RGI60-11.00439
52,RGI60-11.00441
53,RGI60-11.00444
54,RGI60-11.00446
55,RGI60-11.00449
56,RGI60-11.00450
57,RGI60-11.00451
58,RGI60-11.00455
59,RGI60-11.00456
60,RGI60-11.00457
61,RGI60-11.00461
62,RGI60-11.00463
63,RGI60-11.00466
64,RGI60-11.00467
65,RGI60-11.00468
66,RGI60-11.00470
67,RGI60-11.00472
68,RGI60-11.00475
69,RGI60-11.00478
70,RGI60-11.00487
71,RGI60-11.00488
72,RGI60-11.00491
73,RGI60-11.00493
74,RGI60-11.00494
75,RGI60-11.00496
76,RGI60-11.00498
77,RGI60-11.00499
78,RGI60-11.00500
79,RGI60-11.00501
80,RGI60-11.00503
81,RGI60-11.00509
82,RGI60-11.00510
83,RGI60-11.00514
84,RGI60-11.00518
85,RGI60-11.00521
86,RGI60-11.00523
87,RGI60-11.00525
88,RGI60-11.00527
89,RGI60-11.00529
90,RGI60-11.00530
91,RGI60-11.00531
92,RGI60-11.00535
93,RGI60-11.00540
94,RGI60-11.00541
95,RGI60-11.00542
96,RGI60-11.00544
97,RGI60-11.00545
98,RGI60-11.00546
99,RGI60-11.00548
100,RGI60-11.00550
101,RGI60-11.00553
102,RGI60-11.00554
103,RGI60-11.00556
104,RGI60-11.00557
105,RGI60-11.00559
106,RGI60-11.00561
107,RGI60-11.00563
108,RGI60-11.00567
109,RGI60-11.00568
110,RGI60-11.00569
111,RGI60-11.00570
112,RGI60-11.00571
113,RGI60-11.00572
114,RGI60-11.00573
115,RGI60-11.00574
116,RGI60-11.00575
117,RGI60-11.00576
118,RGI60-11.00577
119,RGI60-11.00578
120,RGI60-11.00580
121,RGI60-11.00581
122,RGI60-11.00582
123,RGI60-11.00584
124,RGI60-11.00587
125,RGI60-11.00588
126,RGI60-11.00589
127,RGI60-11.00592
128,RGI60-11.00593
129,RGI60-11.00594
130,RGI60-11.00595
131,RGI60-11.00599
132,RGI60-11.00601
133,RGI60-11.00602
134,RGI60-11.00604
135,RGI60-11.00609
136,RGI60-11.00610
137,RGI60-11.00612
138,RGI60-11.00615
139,RGI60-11.00619
140,RGI60-11.00623
141,RGI60-11.00624
142,RGI60-11.00626
143,RGI60-11.00629
144,RGI60-11.00630
145,RGI60-11.00631
146,RGI60-11.00632
147,RGI60-11.00635
148,RGI60-11.00636
149,RGI60-11.00639
150,RGI60-11.00642
151,RGI60-11.00643
152,RGI60-11.00645
153,RGI60-11.00648
154,RGI60-11.00649
155,RGI60-11.00650
156,RGI60-11.00652
157,RGI60-11.00654
158,RGI60-11.00661
159,RGI60-11.00662
160,RGI60-11.00663
161,RGI60-11.00665
162,RGI60-11.00666
163,RGI60-11.00668
164,RGI60-11.00669
165,RGI60-11.00670
166,RGI60-11.00671
167,RGI60-11.00673
168,RGI60-11.00674
169,RGI60-11.00675
170,RGI60-11.00676
171,RGI60-11.00677
172,RGI60-11.00679
173,RGI60-11.00681
174,RGI60-11.00683
175,RGI60-11.00684
176,RGI60-11.00686
177,RGI60-11.00687
178,RGI60-11.00690
179,RGI60-11.00692
180,RGI60-11.00693
181,RGI60-11.00694
182,RGI60-11.00696
183,RGI60-11.00697
184,RGI60-11.00698
185,RGI60-11.00699
186,RGI60-11.00701
187,RGI60-11.00702
188,RGI60-11.00703
189,RGI60-11.00706
190,RGI60-11.00708
191,RGI60-11.00709
192,RGI60-11.00711
193,RGI60-11.00712
194,RGI60-11.00714
195,RGI60-11.00715
